Is_Sale,Source,Reference,Town,PropertyType,Latitude,Longitude,TotalRooms,TotalBedrooms,TotalBathrooms,TotalSqm,TotalIntArea,TotalExtArea,Price,Province
True,Remax,240291010-724,Bugibba,Apartment,35.95205,14.40935,5.0,3.0,0.0,175.0,160.0,15.0,638000,Northern
True,Remax,240091073-177,Mosta,Apartment,35.91184,14.41168,6.0,2.0,1.0,80.0,80.0,6.0,255000,Northern
True,Remax,240351001-48234,Hamrun,Penthouse,35.88683,14.48569,4.0,1.0,1.0,74.0,50.0,24.0,198000,Southern
True,Remax,240221053-17,Sliema,Apartment,35.91223,14.49969,9.0,4.0,2.0,160.0,153.0,7.0,550000,Central
True,Remax,240091040-369,Gzira,Apartment,35.90512,14.49346,6.0,3.0,2.0,135.0,0.0,12.0,319000,Central
True,Remax,240091040-370,Gzira,Apartment,35.90512,14.49346,6.0,3.0,2.0,135.0,0.0,12.0,319000,Central
True,Remax,240091040-372,Gzira,Apartment,35.90512,14.49346,6.0,3.0,2.0,135.0,0.0,12.0,319000,Central
True,Remax,240311001-212,Qawra,Garage (Residential),35.95441,14.41972,0.0,0.0,0.0,45.0,0.0,0.0,45000,Northern
True,Remax,240291005-181,Naxxar,Garage (Residential),35.93002,14.42395,0.0,0.0,0.0,12.0,12.0,0.0,35000,Northern
True,Remax,240291005-182,Naxxar,Garage (Residential),35.93002,14.42395,0.0,0.0,0.0,12.0,12.0,0.0,35000,Northern
True,Remax,240291005-184,Naxxar,Garage (Residential),35.93002,14.42395,0.0,0.0,0.0,12.0,12.0,0.0,42500,Northern
True,Remax,240291005-183,Naxxar,Garage (Residential),35.93002,14.42395,0.0,0.0,0.0,12.0,12.0,0.0,35000,Northern
True,Remax,240351001-50977,Sliema,Apartment,35.91223,14.49969,6.0,2.0,2.0,140.0,130.0,10.0,480000,Central
True,Remax,240091073-248,Sliema,Apartment,35.91223,14.49969,4.0,1.0,1.0,47.0,0.0,0.0,269000,Central
True,Remax,240021103-61,Luqa,Penthouse,35.85177,14.46828,5.0,3.0,1.0,129.0,105.0,25.0,288000,Southern
True,Remax,240291005-179,Naxxar,Penthouse,35.93002,14.42395,6.0,2.0,2.0,128.0,92.0,36.0,440000,Northern
True,Remax,240351001-50896,Sliema,Apartment,35.91223,14.49969,7.0,3.0,2.0,140.0,130.0,10.0,480000,Central
True,Remax,240291005-178,Naxxar,Apartment,35.93002,14.42395,7.0,3.0,2.0,132.0,115.0,18.0,367000,Northern
True,Remax,240021103-59,Luqa,Penthouse,35.85177,14.46828,5.0,2.0,2.0,126.0,0.0,0.0,245000,Southern
True,Remax,240021103-55,Luqa,Penthouse,35.85177,14.46828,5.0,2.0,2.0,134.0,0.0,0.0,230000,Southern
True,Remax,240021103-60,Luqa,Penthouse,35.85177,14.46828,5.0,2.0,2.0,127.0,0.0,0.0,245000,Southern
True,Remax,240021103-62,Luqa,Penthouse,35.85177,14.46828,5.0,3.0,1.0,183.0,0.0,0.0,309000,Southern
True,Remax,240291005-180,Naxxar,Garage (Residential),35.93002,14.42395,0.0,0.0,0.0,12.0,12.0,0.0,42500,Northern
True,Remax,240061135-366,Cospicua,Townhouse,35.88106,14.51644,7.0,3.0,1.0,207.0,196.0,11.0,635000,South Eastern
True,Remax,240191006-294,Naxxar,Penthouse,35.93002,14.42395,3.0,1.0,0.0,185.0,74.0,112.0,295000,Northern
True,Remax,240351001-50967,Sliema,Apartment,35.91223,14.49969,7.0,3.0,2.0,140.0,130.0,10.0,480000,Central
True,Remax,240351001-48535,Swieqi,Garage (Residential),35.92315,14.46222,3.0,0.0,0.0,25.0,25.0,0.0,36000,Northern
True,Remax,240061141-157,Senglea,Maisonette,35.88792,14.51448,7.0,3.0,2.0,220.0,0.0,78.0,393000,South Eastern
True,Remax,240091040-396,Rabat,Villa Detached,35.88588,14.35485,15.0,4.0,5.0,670.0,0.0,0.0,1800000,Northern
True,Remax,240011010-9084,Sliema,Apartment,35.91223,14.49969,10.0,3.0,3.0,145.0,136.0,10.0,875000,Central
True,Remax,240231001-86,Bahrija,Farmhouse,35.89445,14.34458,4.0,2.0,1.0,1175.0,330.0,845.0,1650000,Northern
True,Remax,240291030-13,Mellieha,Maisonette,35.96342,14.33521,8.0,1.0,2.0,189.0,146.0,43.0,225000,Northern
True,Remax,240221008-391,Tarxien,Apartment,35.86768,14.50854,5.0,2.0,2.0,92.0,92.0,9.0,202000,South Eastern
