Type,Province,Town,Bedrooms,Stage,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Median_Price,Rent_Min_Price,Rent_Max_Price,Rent_Median_Price,Downpayment,Loan,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Monthly,Net_Rent_Year,Total_Years,CoC_Return
Apartment,North,Mellieha,2.0,Shell,16,417,2.0,2.0,88.0,76.0,12.0,12.5,169000.0,307000.0,189000.0,500.0,2640.0,900.0,18900.0,170100.0,814.04,45.0,45.0,90.0,-94.04,-1128.48,46.88,-5.97
Apartment,Central,Birkirkara,2.0,Shell,32,193,2.0,2.0,82.0,1.0,8.5,7.5,170000.0,280000.0,189000.0,550.0,2100.0,900.0,18900.0,170100.0,814.04,45.0,45.0,90.0,-94.04,-1128.48,46.88,-5.97
Penthouse,South,Paola,3.0,Shell,6,6,2.0,2.0,84.0,,17.5,,180000.0,308000.0,231000.0,1000.0,1400.0,1100.0,23100.0,207900.0,994.94,55.0,55.0,110.0,-114.94,-1379.25,46.88,-5.97
Apartment,East,Sliema,4.0,Unclassified,9,298,2.0,3.0,153.0,200.5,13.0,10.0,405000.0,595000.0,525000.0,780.0,7000.0,2500.0,52500.0,472500.0,2261.22,125.0,125.0,250.0,-261.22,-3134.67,46.88,-5.97
Apartment,Gozo,Gozo - Marsalforn,2.0,Unclassified,3,162,2.0,1.0,111.0,28.0,17.0,5.0,123000.0,183000.0,126000.0,300.0,2100.0,600.0,12600.0,113400.0,542.69,30.0,30.0,60.0,-62.69,-752.32,46.88,-5.97
Townhouse,South,Cospicua,2.0,Unclassified,279,14,2.0,2.0,124.0,112.5,17.0,4.0,195000.0,430000.0,195000.0,700.0,1900.0,925.0,19500.0,175500.0,839.88,46.25,46.25,92.5,-99.88,-1198.59,46.96,-6.15
Apartment,East,Msida,2.0,Shell,45,921,2.0,2.0,83.5,75.0,10.5,5.0,139500.0,295000.0,195000.0,525.0,2400.0,925.0,19500.0,175500.0,839.88,46.25,46.25,92.5,-99.88,-1198.59,46.96,-6.15
Apartment,East,Valletta,3.0,Furnished,5,39,2.0,2.0,,1.0,,1.0,403000.0,550000.0,465000.0,790.0,3300.0,2200.0,46500.0,418500.0,2002.8,110.0,110.0,220.0,-242.8,-2913.56,47.02,-6.27
Penthouse,Central,Santa Venera,1.0,Unclassified,6,13,1.0,1.0,46.5,28.0,8.5,25.5,180000.0,213000.0,190500.0,550.0,1050.0,900.0,19050.0,171450.0,820.5,45.0,45.0,90.0,-100.5,-1206.01,47.05,-6.33
Apartment,South,Fgura,2.0,Shell,16,42,2.0,1.0,93.0,125.5,8.0,4.0,157000.0,210000.0,175000.0,600.0,1000.0,825.0,17500.0,157500.0,753.74,41.25,41.25,82.5,-93.74,-1124.89,47.1,-6.43
