Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Ben Estate,BLMSN130858,Marsa,Maisonette,,,,1,2,,,,600
False,Ben Estate,BLAPT130832,Gzira,Apartment,,,,2,2,100.00,,,1350
False,Ben Estate,BLAPT130824,St. Julians,Apartment,,,,1,1,50.00,,,800
False,Ben Estate,BLTWC130820,Kalkara,Town House,,,,2,2,,,,1200
False,Ben Estate,BLAPT130808,Pieta,Apartment,,,,2,1,1.00,,,1200
False,Ben Estate,BLAPT130795,Siggiewi,Apartment,,,,3,3,130.00,,,850
False,Ben Estate,BLAPT130773,Marsaxlokk,Apartment,,,,3,1,170.00,,,850
False,Ben Estate,BLFFM130761,St. Pauls Bay,First Floor Maisonette,,,,3,2,100.00,,,900
False,Ben Estate,BLPTH130713,Mosta,Penthouse,,,,1,1,,,,750
False,Ben Estate,BLMSN130669,Gozo - Nadur,Maisonette,,,,2,1,75.00,,,500
False,Ben Estate,BLEGFM130665,Swatar,Elevated Ground Floor Maisonette,,,,2,2,105.00,,,950
False,Ben Estate,BLGFM130649,Gozo - Nadur,Ground Floor Maisonette,,,,2,3,125.00,,,700
False,Ben Estate,BLOFF130643,Mosta,Offices,,,,2,,100.00,,,1200
False,Ben Estate,BLAPT130581,Mellieha,Apartment,,,,3,3,1.00,,,650
False,Ben Estate,BLAPT130579,Mellieha,Apartment,,,,3,3,1.00,,,650
False,Ben Estate,BLAPT130534,Sliema,Apartment,,,,2,1,1.00,,,900
False,Ben Estate,BLAPT130530,Bahar Ic-Caghaq,Apartment,,,,3,2,140.00,,,1600
False,Ben Estate,BLAPT130508,St. Pauls Bay,Apartment,,,,2,1,80.00,,,730
False,Ben Estate,BLAPT130506,Bugibba,Apartment,,,,3,2,,,,975
False,Ben Estate,BLAPT130504,Valletta,Apartment,,,,3,2,,,,3000
False,Ben Estate,BLMSN130502,Xghajra,Maisonette,,,,1,1,60.00,,,650
False,Ben Estate,BLAPT130482,Gozo - Kercem,Apartment,,,,3,2,130.00,,,600
False,Ben Estate,BLAPT130480,Sliema,Apartment,,,,1,1,80.00,,,1350
False,Ben Estate,BLPTH130474,Hamrun,Penthouse,,,,1,1,1.00,,,650
False,Ben Estate,BLTEH130458,Santa Venera,Terraced House,,,,6,3,1.00,,,1500
False,Ben Estate,BLPTH130448,Marsascala,Penthouse,,,,3,2,190.00,,,1400
False,Ben Estate,BLAPT130440,Zebbug,Apartment,,,,3,2,1.00,,,800
False,Ben Estate,BLSAP130436,Msida,Studio Apartment,,,,1,1,,,,520
False,Ben Estate,BLPTH130416,Burmarrad,Penthouse,,,,2,1,95.00,,,750
False,Ben Estate,BLAPT130412,St. Julians,Apartment,,,,2,2,1.00,,,1000
False,Ben Estate,BLFFM130388,Hamrun,First Floor Maisonette,,,,1,,150.00,,,1500
False,Ben Estate,BLBGR130386,St. Julians,Basement Garage,,,,,,,,,100
False,Ben Estate,BLAPT130384,St. Julians,Apartment,,,,2,2,90.00,,,1100
False,Ben Estate,BLTWC130372,Birkirkara,Town House,,,,1,1,,,,600
False,Ben Estate,BLDPA130366,Bugibba,Duplex Apartment,,,,2,2,1.00,,,1450
False,Ben Estate,BLAPT130364,Bugibba,Apartment,,,,2,1,90.00,,,750
False,Ben Estate,BLDPP130362,Bugibba,Duplex Penthouse,,,,1,1,1.00,,,1450
False,Ben Estate,BLAPT130360,Bugibba,Apartment,,,,1,1,1.00,,,1150
False,Ben Estate,BLAPT130358,Bugibba,Apartment,,,,1,1,1.00,,,1150
False,Ben Estate,BLAPT130356,Bugibba,Apartment,,,,1,1,1.00,,,950
False,Ben Estate,BLAPT130282,Naxxar,Apartment,,,,3,2,1.00,,,950
False,Ben Estate,BLAPT130240,G'Mangia,Apartment,,,,2,1,,,,700
False,Ben Estate,BLMSN130238,Zurrieq,Maisonette,,,,3,2,,,,800
False,Ben Estate,BLAPT130236,St. Julians,Apartment,,,,1,1,,,,800
False,Ben Estate,BLAPT130232,Zebbug,Apartment,,,,3,2,,,,850
False,Ben Estate,BLAPT130230,Zejtun,Apartment,,,,2,2,1.00,,,650
False,Ben Estate,BLAPT130228,Birzebbuga,Apartment,,,,1,1,,,,650
False,Ben Estate,BLAPT130224,Marsascala,Apartment,,,,2,1,,,,800
False,Ben Estate,BLAPT130220,St. Pauls Bay,Apartment,,,,1,1,,,,450
False,Ben Estate,BLPTH130218,St. Pauls Bay,Penthouse,,,,2,1,,,,650
False,Ben Estate,BLPTH130216,St. Pauls Bay,Penthouse,,,,2,1,,,,650
False,Ben Estate,BLMSN130214,Marsascala,Maisonette,,,,2,2,,,,650
False,Ben Estate,BLPTH130212,Birzebbuga,Penthouse,,,,2,2,121.00,,,850
False,Ben Estate,BLCCF130170,Gozo - Gharb,Converted Farmhouse,,,,3,2,250.00,,,1100
False,Ben Estate,BLRM130160,Birkirkara,Room,,,,1,1,1.00,,,300
False,Ben Estate,BLGFM130158,Hamrun,Ground Floor Maisonette,,,,2,1,,,,700
False,Ben Estate,BLAPT130101,Gzira,Apartment,,,,1,1,1.00,,,1200
False,Ben Estate,BLPTH130099,Gzira,Penthouse,,,,1,1,,,,1200
False,Ben Estate,BLPTH130097,Gzira,Penthouse,,,,2,1,1.00,,,1350
False,Ben Estate,BLAPT130095,Gzira,Apartment,,,,2,1,1.00,,,1300
False,Ben Estate,BLAPT130091,Gzira,Apartment,,,,2,1,1.00,,,1300
